customer_id,gender,age_group,membership_type,preferred_sport,city
10060,Female,36-45,Basic,Squash,Navi Mumbai
10061,Male,36-45,Basic,Squash,Navi Mumbai
10062,Male,18-25,Basic,Table Tennis,Dombivli
10063,Male,26-35,Basic,Pickleball,Kalyan
10064,Male,36-45,Premium,Pickleball,Powai
10065,Male,46+,Premium,Tennis,Dombivli
10066,Male,18-25,Basic,Padel,Navi Mumbai
10067,Male,46+,Basic,Pickleball,Powai
10068,Male,36-45,Basic,Pickleball,Mulund
10069,Male,26-35,Premium,Table Tennis,Dombivli
10070,Male,46+,Basic,Pickleball,Mulund
10071,Female,46+,Basic,Squash,Thane
10072,Female,26-35,Basic,Padel,Mulund
10073,Male,26-35,Basic,Squash,Mumbai
10074,Female,46+,Basic,Padel,Navi Mumbai
10075,Male,46+,Basic,Squash,Navi Mumbai
10076,Male,18-25,Basic,Padel,Mumbai
10077,Male,26-35,Basic,Pickleball,Mulund
10078,Male,46+,Basic,Tennis,Powai
10079,Male,26-35,Premium,Tennis,Mulund
10080,Female,36-45,Basic,Tennis,Navi Mumbai
10081,Male,26-35,Basic,Pickleball,Mulund
10082,Male,18-25,Basic,Squash,Mulund
10083,Female,26-35,Basic,Pickleball,Dombivli
10084,Female,46+,Premium,Squash,Mulund
10085,Male,26-35,Premium,Table Tennis,Mulund
10086,Male,46+,Elite,Padel,Mulund
10087,Male,26-35,Basic,Table Tennis,Powai
10088,Female,46+,Basic,Padel,Navi Mumbai
10089,Female,46+,Basic,Badminton,Dombivli
10090,Female,18-25,Basic,Table Tennis,Dombivli
10091,Female,36-45,Basic,Padel,Mumbai
10092,Female,36-45,Premium,Padel,Navi Mumbai
10093,Male,18-25,Basic,Padel,Navi Mumbai
10094,Male,36-45,Premium,Tennis,Kalyan
10095,Male,18-25,Basic,Table Tennis,Navi Mumbai
10096,Male,36-45,Premium,Table Tennis,Thane
10097,Female,36-45,Basic,Badminton,Dombivli
10098,Female,46+,Basic,Pickleball,Dombivli
10099,Female,46+,Premium,Padel,Dombivli
10100,Male,18-25,Basic,Tennis,Mulund
10101,Female,46+,Basic,Tennis,Mumbai
10102,Male,26-35,Basic,Padel,Mulund
10103,Female,26-35,Basic,Squash,Mumbai
10104,Male,46+,Premium,Tennis,Mulund
10105,Male,18-25,Premium,Badminton,Navi Mumbai
10106,Male,36-45,Basic,Badminton,Dombivli
10107,Male,46+,Premium,Padel,Navi Mumbai
10108,Female,26-35,Premium,Pickleball,Mumbai
10109,Male,46+,Basic,Pickleball,Mulund
10110,Female,46+,Basic,Table Tennis,Powai
10111,Female,26-35,Basic,Table Tennis,Dombivli
10112,Male,18-25,Basic,Squash,Kalyan
10113,Male,26-35,Basic,Padel,Mulund
10114,Male,46+,Premium,Padel,Navi Mumbai
10115,Female,46+,Premium,Table Tennis,Dombivli
10116,Male,18-25,Basic,Table Tennis,Dombivli
10117,Female,18-25,Premium,Badminton,Kalyan
10118,Male,36-45,Basic,Padel,Kalyan
10119,Male,26-35,Basic,Pickleball,Mulund
10120,Female,18-25,Basic,Tennis,Thane
10121,Male,18-25,Premium,Pickleball,Mulund
10122,Female,18-25,Basic,Padel,Thane
10123,Male,46+,Basic,Padel,Thane
10124,Male,36-45,Basic,Badminton,Mumbai
10125,Male,18-25,Basic,Table Tennis,Kalyan
10126,Male,18-25,Basic,Pickleball,Powai
10127,Female,36-45,Premium,Padel,Mulund
10128,Male,26-35,Premium,Pickleball,Mumbai
10129,Male,36-45,Basic,Tennis,Powai
10130,Female,26-35,Basic,Pickleball,Powai
10131,Female,26-35,Basic,Badminton,Dombivli
10132,Male,26-35,Basic,Squash,Kalyan
10133,Male,18-25,Basic,Squash,Mumbai
10134,Female,36-45,Premium,Table Tennis,Thane
10135,Male,18-25,Basic,Tennis,Powai
10136,Male,36-45,Premium,Squash,Kalyan
10137,Male,46+,Basic,Squash,Navi Mumbai
10138,Female,46+,Elite,Badminton,Kalyan
10139,Female,46+,Basic,Padel,Mumbai
10140,Female,18-25,Basic,Pickleball,Dombivli
10141,Male,26-35,Premium,Squash,Thane
10142,Male,18-25,Premium,Badminton,Mumbai
10143,Female,36-45,Basic,Pickleball,Mumbai
10144,Male,46+,Basic,Badminton,Mulund
10145,Female,26-35,Basic,Padel,Navi Mumbai
10146,Male,18-25,Basic,Squash,Powai
10147,Female,18-25,Basic,Tennis,Kalyan
10148,Male,18-25,Basic,Pickleball,Mulund
10149,Female,36-45,Elite,Squash,Powai
10150,Female,18-25,Premium,Pickleball,Mumbai
10151,Female,18-25,Premium,Pickleball,Navi Mumbai
10152,Male,36-45,Basic,Padel,Dombivli
10153,Male,36-45,Basic,Table Tennis,Kalyan
10154,Male,36-45,Basic,Squash,Navi Mumbai
10155,Female,36-45,Basic,Tennis,Dombivli
10156,Female,18-25,Basic,Tennis,Dombivli
10157,Male,46+,Basic,Padel,Mulund
10158,Male,36-45,Basic,Padel,Thane
10159,Male,26-35,Premium,Tennis,Mumbai
10160,Male,18-25,Basic,Badminton,Powai
10161,Male,46+,Elite,Tennis,Navi Mumbai
10162,Female,46+,Basic,Squash,Mulund
10163,Male,36-45,Elite,Badminton,Mulund
10164,Female,18-25,Basic,Table Tennis,Powai
10165,Male,36-45,Basic,Pickleball,Kalyan
10166,Male,18-25,Premium,Badminton,Mumbai
10167,Male,36-45,Basic,Padel,Dombivli
10168,Male,18-25,Basic,Badminton,Kalyan
10169,Female,18-25,Basic,Squash,Powai
10170,Male,26-35,Basic,Badminton,Thane
10171,Female,18-25,Premium,Table Tennis,Dombivli
10172,Female,36-45,Basic,Padel,Kalyan
10173,Male,18-25,Premium,Squash,Mulund
10174,Male,26-35,Basic,Table Tennis,Thane
10175,Female,46+,Premium,Table Tennis,Navi Mumbai
10176,Male,46+,Basic,Tennis,Dombivli
10177,Female,26-35,Basic,Table Tennis,Dombivli
10178,Male,36-45,Basic,Squash,Thane
10179,Male,46+,Basic,Pickleball,Kalyan
10180,Female,46+,Basic,Padel,Thane
10181,Male,18-25,Basic,Tennis,Kalyan
10182,Male,18-25,Basic,Pickleball,Kalyan
10183,Male,18-25,Premium,Padel,Kalyan
10184,Female,26-35,Basic,Pickleball,Thane
10185,Male,26-35,Basic,Badminton,Mulund
10186,Male,26-35,Basic,Tennis,Powai
10187,Female,18-25,Premium,Pickleball,Dombivli
10188,Female,18-25,Premium,Squash,Navi Mumbai
10189,Male,46+,Premium,Badminton,Navi Mumbai
10190,Male,26-35,Basic,Table Tennis,Thane
10191,Female,36-45,Premium,Pickleball,Dombivli
10192,Male,26-35,Basic,Table Tennis,Navi Mumbai
10193,Male,26-35,Basic,Squash,Mumbai
10194,Male,36-45,Premium,Tennis,Kalyan
10195,Male,46+,Basic,Badminton,Navi Mumbai
10196,Male,18-25,Premium,Padel,Powai
10197,Male,26-35,Basic,Tennis,Mumbai
10198,Female,46+,Basic,Badminton,Navi Mumbai
10199,Male,26-35,Basic,Tennis,Thane
10200,Male,46+,Basic,Table Tennis,Thane
10201,Male,26-35,Premium,Badminton,Kalyan
10202,Male,26-35,Basic,Table Tennis,Mumbai
10203,Female,26-35,Basic,Tennis,Powai
10204,Female,46+,Basic,Pickleball,Mulund
10205,Male,26-35,Basic,Pickleball,Navi Mumbai
10206,Male,46+,Basic,Badminton,Dombivli
10207,Female,36-45,Premium,Tennis,Powai
10208,Male,36-45,Basic,Table Tennis,Thane
10209,Male,36-45,Premium,Padel,Mumbai
10210,Female,26-35,Premium,Padel,Mumbai
10211,Female,36-45,Basic,Table Tennis,Dombivli
10212,Male,26-35,Premium,Table Tennis,Kalyan
10213,Male,18-25,Basic,Squash,Dombivli
10214,Male,36-45,Basic,Badminton,Powai
10215,Male,46+,Basic,Table Tennis,Kalyan
10216,Male,46+,Premium,Tennis,Dombivli
10217,Male,46+,Basic,Badminton,Kalyan
10218,Male,26-35,Basic,Badminton,Navi Mumbai
10219,Male,46+,Basic,Padel,Mumbai
10220,Female,18-25,Basic,Table Tennis,Navi Mumbai
10221,Male,18-25,Basic,Badminton,Powai
10222,Male,36-45,Basic,Pickleball,Mumbai
10223,Male,26-35,Basic,Squash,Thane
10224,Male,46+,Basic,Badminton,Thane
10225,Female,36-45,Premium,Badminton,Mumbai
10226,Male,18-25,Basic,Pickleball,Mulund
10227,Female,18-25,Basic,Tennis,Kalyan
10228,Male,46+,Basic,Tennis,Kalyan
10229,Male,18-25,Elite,Padel,Kalyan
10230,Male,18-25,Basic,Badminton,Kalyan
10231,Female,18-25,Basic,Squash,Thane
10232,Male,18-25,Premium,Pickleball,Navi Mumbai
10233,Male,36-45,Basic,Tennis,Thane
10234,Male,18-25,Premium,Table Tennis,Powai
10235,Female,46+,Basic,Padel,Mumbai
10236,Male,26-35,Basic,Tennis,Thane
10237,Female,46+,Basic,Padel,Kalyan
10238,Female,18-25,Basic,Padel,Mulund
10239,Male,36-45,Basic,Pickleball,Mulund
10240,Female,18-25,Basic,Pickleball,Navi Mumbai
10241,Male,46+,Basic,Padel,Powai
10242,Female,18-25,Basic,Badminton,Kalyan
10243,Male,18-25,Elite,Table Tennis,Kalyan
10244,Male,36-45,Basic,Tennis,Dombivli
10245,Male,26-35,Basic,Table Tennis,Powai
10246,Male,36-45,Basic,Tennis,Mumbai
10247,Male,18-25,Premium,Badminton,Dombivli
10248,Female,36-45,Premium,Pickleball,Mulund
10249,Female,26-35,Premium,Tennis,Mulund
10250,Female,18-25,Basic,Squash,Thane
10251,Female,36-45,Premium,Squash,Thane
10252,Male,36-45,Basic,Table Tennis,Powai
10253,Male,46+,Basic,Pickleball,Powai
10254,Male,26-35,Premium,Badminton,Mumbai
10255,Female,26-35,Basic,Padel,Navi Mumbai
10256,Male,46+,Elite,Table Tennis,Kalyan
10257,Female,26-35,Basic,Pickleball,Dombivli
10258,Female,46+,Basic,Padel,Kalyan
10259,Male,26-35,Premium,Badminton,Navi Mumbai
10260,Female,46+,Basic,Padel,Mumbai
10261,Male,26-35,Premium,Squash,Kalyan
10262,Male,36-45,Basic,Pickleball,Kalyan
10263,Male,46+,Elite,Pickleball,Powai
10264,Male,18-25,Basic,Tennis,Mumbai
10265,Female,46+,Basic,Pickleball,Dombivli
10266,Female,26-35,Premium,Padel,Dombivli
10267,Male,26-35,Basic,Tennis,Mulund
10268,Female,26-35,Basic,Pickleball,Navi Mumbai
10269,Male,36-45,Premium,Padel,Dombivli
10270,Female,36-45,Basic,Pickleball,Mulund
10271,Female,36-45,Premium,Pickleball,Mumbai
10272,Male,18-25,Basic,Padel,Mumbai
10273,Male,18-25,Basic,Padel,Navi Mumbai
10274,Male,36-45,Premium,Tennis,Navi Mumbai
10275,Male,18-25,Basic,Squash,Mulund
10276,Female,36-45,Basic,Pickleball,Mulund
10277,Male,26-35,Premium,Tennis,Powai
10278,Female,36-45,Basic,Padel,Kalyan
10279,Male,36-45,Premium,Tennis,Mumbai
10280,Female,46+,Premium,Pickleball,Kalyan
10281,Female,18-25,Elite,Pickleball,Navi Mumbai
10282,Female,18-25,Premium,Padel,Dombivli
10283,Female,46+,Basic,Table Tennis,Mulund
10284,Male,46+,Premium,Tennis,Powai
10285,Male,36-45,Basic,Squash,Thane
10286,Female,46+,Basic,Squash,Mulund
10287,Male,46+,Premium,Squash,Thane
10288,Female,46+,Premium,Padel,Powai
10289,Female,18-25,Premium,Table Tennis,Navi Mumbai
10290,Female,26-35,Basic,Padel,Mulund
10291,Male,26-35,Basic,Pickleball,Thane
10292,Female,46+,Basic,Pickleball,Powai
10293,Male,18-25,Premium,Pickleball,Dombivli
10294,Male,46+,Basic,Table Tennis,Dombivli
10295,Female,46+,Basic,Padel,Dombivli
10296,Male,18-25,Premium,Table Tennis,Mumbai
10297,Female,46+,Basic,Pickleball,Navi Mumbai
10298,Female,46+,Premium,Pickleball,Kalyan
10299,Male,18-25,Basic,Tennis,Thane
10300,Female,36-45,Basic,Squash,Thane
10301,Female,36-45,Premium,Tennis,Mumbai
10302,Male,18-25,Basic,Badminton,Thane
10303,Male,26-35,Basic,Tennis,Kalyan
10304,Male,18-25,Basic,Tennis,Mulund
10305,Female,36-45,Basic,Table Tennis,Kalyan
10306,Female,18-25,Basic,Table Tennis,Kalyan
10307,Male,36-45,Basic,Pickleball,Dombivli
10308,Male,18-25,Basic,Tennis,Mumbai
10309,Male,26-35,Basic,Tennis,Dombivli
10310,Male,26-35,Basic,Badminton,Mulund
10311,Male,26-35,Basic,Badminton,Thane
10312,Male,18-25,Basic,Squash,Kalyan
10313,Male,18-25,Basic,Squash,Thane
10314,Female,18-25,Premium,Tennis,Mulund
10315,Male,26-35,Basic,Squash,Dombivli
10316,Male,36-45,Basic,Tennis,Navi Mumbai
10317,Female,36-45,Premium,Table Tennis,Kalyan
10318,Male,18-25,Basic,Tennis,Kalyan
10319,Male,46+,Premium,Squash,Kalyan
10320,Female,26-35,Basic,Pickleball,Navi Mumbai
10321,Male,46+,Basic,Pickleball,Kalyan
10322,Male,46+,Basic,Badminton,Powai
10323,Male,26-35,Basic,Pickleball,Dombivli
10324,Female,36-45,Basic,Pickleball,Mumbai
10325,Female,26-35,Elite,Table Tennis,Kalyan
10326,Female,18-25,Premium,Badminton,Mulund
10327,Female,18-25,Premium,Padel,Powai
10328,Male,46+,Basic,Badminton,Navi Mumbai
10329,Male,46+,Basic,Padel,Kalyan
10330,Female,46+,Basic,Squash,Powai
10331,Female,46+,Basic,Table Tennis,Kalyan
10332,Male,46+,Basic,Badminton,Kalyan
10333,Male,46+,Premium,Padel,Mulund
10334,Male,26-35,Basic,Badminton,Mulund
10335,Female,36-45,Basic,Tennis,Mulund
10336,Male,26-35,Basic,Badminton,Mulund
10337,Male,46+,Premium,Badminton,Navi Mumbai
10338,Male,18-25,Basic,Table Tennis,Kalyan
10339,Female,26-35,Basic,Padel,Thane
10340,Male,36-45,Basic,Pickleball,Kalyan
10341,Male,36-45,Basic,Tennis,Dombivli
10342,Male,36-45,Basic,Pickleball,Navi Mumbai
10343,Female,36-45,Basic,Tennis,Mulund
10344,Female,26-35,Premium,Padel,Navi Mumbai
10345,Male,36-45,Basic,Table Tennis,Mulund
10346,Female,18-25,Premium,Padel,Thane
10347,Female,26-35,Basic,Table Tennis,Mumbai
10348,Male,18-25,Premium,Badminton,Mumbai
10349,Male,36-45,Premium,Table Tennis,Mumbai
10350,Female,18-25,Basic,Padel,Mumbai
10351,Male,18-25,Basic,Squash,Mumbai
10352,Female,26-35,Basic,Tennis,Mulund
10353,Male,18-25,Basic,Tennis,Dombivli
10354,Male,18-25,Basic,Tennis,Navi Mumbai
10355,Female,46+,Basic,Tennis,Kalyan
10356,Male,18-25,Basic,Squash,Mulund
10357,Female,36-45,Basic,Table Tennis,Powai
10358,Female,46+,Basic,Tennis,Thane
10359,Female,36-45,Basic,Pickleball,Powai
10360,Male,46+,Basic,Table Tennis,Mulund
10361,Female,46+,Basic,Badminton,Dombivli
10362,Female,26-35,Basic,Squash,Mulund
10363,Male,46+,Basic,Table Tennis,Mumbai
10364,Male,36-45,Basic,Padel,Thane
10365,Male,46+,Basic,Padel,Dombivli
10366,Male,18-25,Elite,Tennis,Navi Mumbai
10367,Female,36-45,Premium,Table Tennis,Mumbai
10368,Male,26-35,Premium,Tennis,Navi Mumbai
10369,Male,26-35,Basic,Badminton,Dombivli
10370,Male,26-35,Premium,Table Tennis,Kalyan
10371,Male,46+,Basic,Padel,Mumbai
10372,Female,18-25,Premium,Badminton,Mumbai
10373,Male,46+,Premium,Squash,Mumbai
10374,Male,46+,Premium,Padel,Mumbai
10375,Male,36-45,Basic,Badminton,Kalyan
10376,Female,36-45,Basic,Pickleball,Navi Mumbai
10377,Male,26-35,Basic,Squash,Thane
10378,Female,46+,Basic,Squash,Dombivli
10379,Female,46+,Basic,Padel,Thane
10380,Female,46+,Premium,Badminton,Powai
10381,Male,46+,Basic,Padel,Dombivli
10382,Male,36-45,Basic,Badminton,Dombivli
10383,Male,18-25,Premium,Padel,Navi Mumbai
10384,Male,46+,Premium,Tennis,Mumbai
10385,Male,36-45,Basic,Badminton,Dombivli
10386,Female,46+,Premium,Padel,Dombivli
10387,Female,18-25,Premium,Padel,Mulund
10388,Male,26-35,Basic,Table Tennis,Kalyan
10389,Male,18-25,Basic,Badminton,Mumbai
10390,Male,26-35,Basic,Squash,Dombivli
10391,Male,36-45,Basic,Pickleball,Mumbai
10392,Male,18-25,Basic,Table Tennis,Navi Mumbai
10393,Female,46+,Basic,Table Tennis,Powai
10394,Female,36-45,Premium,Squash,Dombivli
10395,Male,18-25,Basic,Table Tennis,Dombivli
10396,Male,36-45,Basic,Badminton,Mumbai
10397,Male,46+,Basic,Table Tennis,Mulund
10398,Male,18-25,Premium,Pickleball,Kalyan
10399,Male,36-45,Basic,Tennis,Mulund
10400,Male,26-35,Basic,Squash,Thane
10401,Male,36-45,Basic,Padel,Thane
10402,Male,26-35,Premium,Squash,Mumbai
10403,Female,26-35,Basic,Padel,Powai
10404,Male,36-45,Basic,Padel,Dombivli
10405,Female,36-45,Basic,Padel,Dombivli
10406,Male,18-25,Basic,Table Tennis,Kalyan
10407,Male,46+,Basic,Squash,Dombivli
10408,Male,36-45,Premium,Table Tennis,Mumbai
10409,Female,46+,Basic,Badminton,Mulund
10410,Female,46+,Basic,Pickleball,Mumbai
10411,Female,46+,Basic,Badminton,Mumbai
10412,Male,18-25,Basic,Tennis,Dombivli
10413,Female,46+,Basic,Tennis,Thane
10414,Female,46+,Premium,Tennis,Powai
10415,Female,46+,Basic,Pickleball,Kalyan
10416,Female,26-35,Premium,Table Tennis,Dombivli
10417,Male,36-45,Elite,Pickleball,Dombivli
10418,Female,36-45,Premium,Tennis,Mulund
10419,Female,18-25,Premium,Padel,Mulund
10420,Female,26-35,Basic,Tennis,Powai
10421,Female,18-25,Premium,Table Tennis,Navi Mumbai
10422,Male,36-45,Basic,Squash,Mulund
10423,Male,18-25,Premium,Table Tennis,Dombivli
10424,Male,18-25,Basic,Squash,Navi Mumbai
10425,Male,18-25,Basic,Pickleball,Powai
10426,Male,18-25,Basic,Pickleball,Navi Mumbai
10427,Female,36-45,Basic,Badminton,Dombivli
10428,Female,46+,Basic,Badminton,Dombivli
10429,Male,36-45,Basic,Squash,Dombivli
10430,Female,18-25,Basic,Pickleball,Mumbai
10431,Male,46+,Basic,Padel,Dombivli
10432,Male,36-45,Basic,Padel,Thane
10433,Male,36-45,Basic,Pickleball,Thane
10434,Male,46+,Basic,Tennis,Navi Mumbai
10435,Male,46+,Elite,Tennis,Mumbai
10436,Male,18-25,Basic,Badminton,Powai
10437,Female,36-45,Basic,Padel,Thane
10438,Female,46+,Premium,Table Tennis,Kalyan
10439,Female,36-45,Basic,Padel,Kalyan
10440,Male,46+,Basic,Badminton,Navi Mumbai
10441,Male,36-45,Premium,Badminton,Thane
10442,Female,36-45,Basic,Table Tennis,Kalyan
10443,Female,36-45,Basic,Squash,Thane
10444,Male,26-35,Basic,Tennis,Navi Mumbai
10445,Female,46+,Basic,Table Tennis,Thane
10446,Female,18-25,Basic,Squash,Navi Mumbai
10447,Male,18-25,Premium,Badminton,Mulund
10448,Female,26-35,Elite,Badminton,Kalyan
10449,Male,46+,Basic,Badminton,Dombivli
10450,Male,18-25,Basic,Squash,Kalyan
10451,Male,36-45,Basic,Padel,Mumbai
10452,Female,46+,Basic,Table Tennis,Dombivli
10453,Female,18-25,Premium,Tennis,Powai
10454,Male,46+,Premium,Pickleball,Mumbai
10455,Female,18-25,Basic,Squash,Navi Mumbai
10456,Male,26-35,Basic,Badminton,Mulund
10457,Male,36-45,Basic,Tennis,Powai
10458,Male,18-25,Basic,Table Tennis,Dombivli
10459,Male,26-35,Premium,Padel,Kalyan
10460,Female,18-25,Basic,Squash,Kalyan
10461,Female,36-45,Premium,Tennis,Powai
10462,Male,36-45,Basic,Padel,Kalyan
10463,Male,26-35,Basic,Padel,Kalyan
10464,Male,36-45,Basic,Pickleball,Kalyan
10465,Female,46+,Basic,Padel,Navi Mumbai
10466,Male,18-25,Basic,Padel,Mumbai
10467,Male,36-45,Premium,Badminton,Kalyan
10468,Male,46+,Basic,Pickleball,Mulund
10469,Male,18-25,Basic,Padel,Powai
10470,Male,46+,Basic,Table Tennis,Mumbai
10471,Male,18-25,Premium,Pickleball,Kalyan
10472,Female,46+,Basic,Badminton,Mulund
10473,Male,18-25,Basic,Squash,Mumbai
10474,Male,26-35,Basic,Pickleball,Thane
10475,Male,26-35,Basic,Padel,Powai
10476,Male,36-45,Basic,Table Tennis,Powai
10477,Female,26-35,Basic,Table Tennis,Thane
10478,Male,46+,Basic,Pickleball,Dombivli
10479,Male,18-25,Basic,Squash,Mulund
10480,Male,36-45,Premium,Pickleball,Dombivli
10481,Female,26-35,Basic,Pickleball,Powai
10482,Male,36-45,Basic,Table Tennis,Mumbai
10483,Female,26-35,Basic,Tennis,Navi Mumbai
10484,Male,36-45,Premium,Tennis,Mulund
10485,Male,46+,Basic,Padel,Mulund
10486,Female,36-45,Basic,Padel,Dombivli
10487,Female,36-45,Basic,Padel,Kalyan
10488,Male,18-25,Basic,Squash,Mulund
10489,Female,46+,Basic,Badminton,Thane
10490,Female,36-45,Elite,Squash,Mumbai
10491,Male,26-35,Basic,Table Tennis,Thane
10492,Female,18-25,Basic,Squash,Thane
10493,Male,36-45,Basic,Padel,Thane
10494,Male,26-35,Premium,Tennis,Thane
10495,Male,26-35,Elite,Pickleball,Powai
10496,Male,46+,Basic,Padel,Mumbai
10497,Female,36-45,Basic,Pickleball,Navi Mumbai
10498,Male,36-45,Basic,Padel,Thane
10499,Female,18-25,Basic,Table Tennis,Powai
10500,Male,18-25,Basic,Pickleball,Dombivli
10501,Female,26-35,Basic,Badminton,Mumbai
10502,Male,46+,Basic,Table Tennis,Powai
10503,Female,36-45,Elite,Squash,Powai
10504,Male,26-35,Basic,Padel,Mulund
10505,Female,26-35,Premium,Table Tennis,Dombivli
10506,Female,36-45,Elite,Pickleball,Powai
10507,Female,46+,Premium,Table Tennis,Navi Mumbai
10508,Female,36-45,Elite,Squash,Mumbai
10509,Male,36-45,Basic,Pickleball,Navi Mumbai
10510,Female,36-45,Basic,Tennis,Mulund
10511,Female,46+,Basic,Padel,Powai
10512,Female,46+,Basic,Table Tennis,Powai
10513,Male,46+,Basic,Table Tennis,Kalyan
10514,Male,26-35,Basic,Pickleball,Thane
10515,Male,26-35,Basic,Table Tennis,Navi Mumbai
10516,Male,46+,Basic,Pickleball,Dombivli
10517,Male,18-25,Basic,Padel,Navi Mumbai
10518,Male,46+,Premium,Tennis,Dombivli
10519,Male,26-35,Elite,Padel,Dombivli
10520,Male,36-45,Basic,Padel,Mulund
10521,Male,18-25,Premium,Pickleball,Mumbai
10522,Male,36-45,Basic,Padel,Mumbai
10523,Female,26-35,Basic,Tennis,Dombivli
10524,Male,46+,Basic,Tennis,Kalyan
10525,Male,18-25,Basic,Badminton,Navi Mumbai
10526,Female,26-35,Basic,Squash,Mulund
10527,Male,36-45,Basic,Badminton,Mumbai
10528,Male,18-25,Basic,Tennis,Dombivli
10529,Male,18-25,Basic,Table Tennis,Thane
10530,Female,26-35,Basic,Squash,Dombivli
10531,Male,18-25,Premium,Badminton,Navi Mumbai
10532,Male,36-45,Basic,Squash,Dombivli
10533,Female,18-25,Basic,Badminton,Dombivli
10534,Male,46+,Basic,Pickleball,Kalyan
10535,Female,26-35,Basic,Table Tennis,Mumbai
10536,Male,46+,Basic,Padel,Mumbai
10537,Male,46+,Premium,Table Tennis,Kalyan
10538,Female,18-25,Basic,Squash,Mumbai
10539,Female,36-45,Basic,Squash,Mulund
10540,Female,36-45,Premium,Padel,Mulund
10541,Female,26-35,Basic,Padel,Powai
10542,Male,26-35,Basic,Padel,Powai
10543,Male,36-45,Basic,Padel,Navi Mumbai
10544,Male,26-35,Premium,Tennis,Powai
10545,Female,18-25,Basic,Tennis,Navi Mumbai
10546,Female,18-25,Basic,Tennis,Kalyan
10547,Male,46+,Basic,Squash,Powai
10548,Male,36-45,Basic,Pickleball,Powai
10549,Female,36-45,Basic,Badminton,Mulund
10550,Female,26-35,Basic,Pickleball,Navi Mumbai
10551,Male,26-35,Basic,Badminton,Kalyan
10552,Male,46+,Basic,Tennis,Mulund
10553,Male,46+,Basic,Padel,Kalyan
10554,Male,36-45,Basic,Tennis,Thane
10555,Male,18-25,Premium,Squash,Kalyan
10556,Male,36-45,Premium,Pickleball,Thane
10557,Female,36-45,Basic,Padel,Mulund
10558,Male,26-35,Basic,Squash,Mulund
10559,Male,36-45,Basic,Table Tennis,Thane
10560,Male,18-25,Basic,Tennis,Dombivli
10561,Male,46+,Basic,Squash,Thane
10562,Male,18-25,Premium,Squash,Powai
10563,Male,46+,Basic,Padel,Powai
10564,Male,46+,Basic,Badminton,Kalyan
10565,Male,36-45,Basic,Pickleball,Navi Mumbai
