inventory_id,store_id,product_id,current_stock,reorder_level,lead_time_days,stock_status
141,4,1112,2,25,15,Low Stock
142,3,1002,8,25,5,Low Stock
143,3,1057,104,30,5,Healthy
144,3,1058,235,50,14,Overstock
145,3,1082,57,30,10,Healthy
146,6,1082,6,25,12,Low Stock
147,4,1116,5,25,7,Low Stock
148,6,1085,60,30,13,Healthy
149,3,1109,112,30,6,Healthy
150,6,1093,87,30,15,Healthy
151,2,1063,131,30,10,Healthy
152,2,1066,321,50,8,Overstock
153,3,1076,78,30,13,Healthy
154,4,1132,70,30,8,Healthy
155,5,1018,107,30,11,Healthy
156,6,1090,58,30,10,Healthy
157,5,1146,19,25,8,Low Stock
158,2,1092,136,30,4,Healthy
159,6,1135,128,30,13,Healthy
160,1,1095,122,30,4,Healthy
161,5,1031,141,30,7,Healthy
162,2,1019,18,25,9,Low Stock
163,4,1053,75,30,12,Healthy
164,2,1026,59,30,13,Healthy
165,3,1030,50,30,9,Healthy
166,3,1149,60,30,14,Healthy
167,2,1148,79,30,9,Healthy
168,3,1019,5,25,5,Low Stock
169,1,1022,436,50,11,Overstock
170,2,1107,20,25,7,Low Stock
171,2,1089,77,30,13,Healthy
172,2,1013,132,30,10,Healthy
173,6,1025,148,30,10,Healthy
174,2,1059,101,30,4,Healthy
175,3,1076,76,30,12,Healthy
176,4,1069,149,30,5,Healthy
177,4,1049,52,30,12,Healthy
178,2,1115,52,30,9,Healthy
179,2,1066,57,30,4,Healthy
180,4,1144,68,30,5,Healthy
181,3,1144,271,50,9,Overstock
182,4,1140,113,30,5,Healthy
183,2,1101,85,30,6,Healthy
184,4,1132,124,30,13,Healthy
185,1,1022,128,30,6,Healthy
186,2,1042,147,30,11,Healthy
187,2,1013,77,30,13,Healthy
188,1,1099,408,50,8,Overstock
189,5,1002,64,30,4,Healthy
190,6,1052,59,30,12,Healthy
191,3,1030,137,30,9,Healthy
192,3,1096,115,30,6,Healthy
193,6,1011,255,50,13,Overstock
194,3,1032,15,25,4,Low Stock
195,2,1088,75,30,12,Healthy
196,4,1107,87,30,7,Healthy
197,3,1095,53,30,10,Healthy
198,4,1003,95,30,7,Healthy
199,1,1022,228,50,10,Overstock
200,5,1093,112,30,8,Healthy
201,3,1139,145,30,4,Healthy
202,5,1074,121,30,8,Healthy
203,1,1124,91,30,14,Healthy
204,6,1111,86,30,9,Healthy
205,4,1003,109,30,4,Healthy
206,3,1107,62,30,3,Healthy
207,2,1094,82,30,10,Healthy
208,1,1038,338,50,3,Overstock
209,4,1020,85,30,7,Healthy
210,6,1124,8,25,11,Low Stock
211,4,1146,63,30,3,Healthy
212,4,1141,119,30,4,Healthy
213,4,1007,86,30,7,Healthy
214,4,1064,1,25,10,Low Stock
215,1,1026,134,30,4,Healthy
216,2,1113,143,30,9,Healthy
217,2,1020,132,30,13,Healthy
218,1,1011,245,50,4,Overstock
219,3,1096,255,50,15,Overstock
220,4,1041,115,30,10,Healthy
221,3,1101,6,25,15,Low Stock
222,5,1099,78,30,9,Healthy
223,5,1133,129,30,15,Healthy
224,3,1002,148,30,7,Healthy
225,5,1009,91,30,7,Healthy
226,4,1086,128,30,12,Healthy
227,1,1112,91,30,4,Healthy
228,1,1035,65,30,12,Healthy
229,5,1017,19,25,3,Low Stock
230,2,1118,78,30,3,Healthy
231,5,1139,136,30,6,Healthy
232,6,1090,104,30,12,Healthy
233,3,1087,87,30,6,Healthy
234,5,1077,76,30,15,Healthy
235,5,1144,5,25,6,Low Stock
236,2,1150,409,50,13,Overstock
237,6,1119,85,30,9,Healthy
238,3,1120,114,30,12,Healthy
239,3,1031,112,30,15,Healthy
240,6,1025,92,30,7,Healthy
241,5,1135,110,30,11,Healthy
242,3,1030,0,25,5,Low Stock
243,4,1008,81,30,7,Healthy
244,3,1095,10,25,4,Low Stock
245,4,1062,361,50,5,Overstock
246,1,1012,52,30,6,Healthy
247,2,1092,4,25,4,Low Stock
248,2,1024,135,30,3,Healthy
249,2,1019,76,30,13,Healthy
250,5,1017,9,25,12,Low Stock
251,4,1047,133,30,10,Healthy
252,1,1098,58,30,10,Healthy
253,1,1031,8,25,9,Low Stock
254,5,1134,7,25,9,Low Stock
255,5,1120,125,30,5,Healthy
256,4,1049,94,30,15,Healthy
257,5,1079,144,30,12,Healthy
258,2,1079,19,25,11,Low Stock
259,6,1120,118,30,5,Healthy
260,1,1077,85,30,10,Healthy
261,2,1017,148,30,5,Healthy
262,2,1009,116,30,15,Healthy
263,4,1136,126,30,6,Healthy
264,1,1098,146,30,12,Healthy
265,2,1143,80,30,6,Healthy
266,1,1032,144,30,4,Healthy
267,5,1089,143,30,12,Healthy
268,1,1147,2,25,11,Low Stock
269,1,1025,142,30,5,Healthy
270,3,1144,144,30,9,Healthy
271,2,1114,138,30,8,Healthy
272,5,1096,435,50,3,Overstock
273,2,1104,11,25,15,Low Stock
274,2,1066,405,50,4,Overstock
275,1,1107,9,25,11,Low Stock
276,5,1135,75,30,15,Healthy
277,3,1105,8,25,5,Low Stock
278,2,1028,108,30,12,Healthy
279,1,1001,63,30,4,Healthy
280,5,1007,14,25,8,Low Stock
281,1,1112,138,30,15,Healthy
282,5,1089,17,25,13,Low Stock
283,4,1035,107,30,7,Healthy
284,1,1099,76,30,12,Healthy
285,6,1026,85,30,14,Healthy
286,3,1127,145,30,8,Healthy
287,6,1066,440,50,3,Overstock
288,2,1005,81,30,13,Healthy
289,4,1146,116,30,10,Healthy
290,5,1090,105,30,11,Healthy
291,2,1108,105,30,13,Healthy
292,2,1093,12,25,3,Low Stock
293,4,1065,120,30,13,Healthy
294,4,1010,59,30,11,Healthy
295,6,1006,290,50,13,Overstock
296,1,1133,112,30,10,Healthy
297,6,1144,96,30,9,Healthy
298,3,1096,72,30,8,Healthy
299,2,1117,91,30,3,Healthy
300,6,1017,74,30,4,Healthy
301,2,1125,135,30,11,Healthy
302,4,1036,135,30,12,Healthy
303,1,1070,124,30,6,Healthy
304,5,1111,14,25,10,Low Stock
305,3,1044,15,25,5,Low Stock
306,1,1043,66,30,8,Healthy
307,2,1005,50,30,8,Healthy
308,6,1142,137,30,9,Healthy
309,3,1046,104,30,14,Healthy
310,4,1039,55,30,12,Healthy
311,4,1024,79,30,11,Healthy
312,4,1106,146,30,6,Healthy
313,4,1096,19,25,7,Low Stock
314,3,1012,79,30,12,Healthy
315,5,1064,0,25,15,Low Stock
316,5,1140,84,30,5,Healthy
317,5,1121,106,30,15,Healthy
318,1,1150,127,30,4,Healthy
319,5,1130,389,50,13,Overstock
320,3,1062,139,30,9,Healthy
321,2,1049,100,30,7,Healthy
322,6,1077,117,30,3,Healthy
323,4,1071,5,25,8,Low Stock
324,5,1079,80,30,11,Healthy
325,3,1098,59,30,8,Healthy
326,6,1097,1,25,8,Low Stock
327,2,1048,97,30,10,Healthy
328,6,1133,97,30,4,Healthy
329,1,1146,75,30,9,Healthy
330,1,1009,4,25,8,Low Stock
331,3,1131,103,30,6,Healthy
332,5,1142,131,30,15,Healthy
333,5,1094,5,25,6,Low Stock
334,3,1097,9,25,12,Low Stock
335,1,1009,208,50,12,Overstock
336,5,1038,19,25,15,Low Stock
337,5,1137,93,30,12,Healthy
338,3,1066,20,25,11,Low Stock
339,6,1094,12,25,13,Low Stock
340,3,1145,374,50,6,Overstock
341,5,1115,117,30,12,Healthy
342,6,1129,52,30,8,Healthy
343,6,1102,121,30,10,Healthy
344,3,1124,89,30,9,Healthy
345,5,1113,141,30,13,Healthy
346,2,1028,71,30,5,Healthy
347,5,1132,90,30,7,Healthy
348,6,1109,138,30,5,Healthy
349,2,1060,68,30,14,Healthy
350,4,1079,456,50,7,Overstock
351,1,1036,66,30,8,Healthy
352,6,1130,115,30,9,Healthy
353,6,1093,90,30,5,Healthy
354,1,1109,71,30,7,Healthy
355,3,1035,94,30,10,Healthy
356,5,1067,129,30,14,Healthy
357,5,1084,114,30,11,Healthy
358,2,1044,50,30,9,Healthy
359,6,1052,98,30,8,Healthy
360,2,1148,14,25,3,Low Stock
361,1,1081,98,30,13,Healthy
362,5,1088,270,50,3,Overstock
363,5,1120,94,30,9,Healthy
364,4,1135,11,25,6,Low Stock
365,5,1099,66,30,9,Healthy
366,6,1054,101,30,13,Healthy
367,1,1109,132,30,8,Healthy
368,6,1027,8,25,4,Low Stock
369,3,1125,65,30,8,Healthy
370,6,1130,1,25,13,Low Stock
371,3,1056,20,25,9,Low Stock
372,4,1149,63,30,8,Healthy
373,1,1038,143,30,9,Healthy
374,3,1010,90,30,8,Healthy
375,1,1021,106,30,7,Healthy
376,1,1089,10,25,13,Low Stock
377,6,1143,361,50,10,Overstock
378,6,1069,137,30,9,Healthy
379,4,1115,110,30,15,Healthy
380,1,1115,86,30,3,Healthy
381,1,1133,57,30,10,Healthy
382,2,1065,105,30,14,Healthy
383,3,1101,71,30,8,Healthy
384,5,1071,91,30,8,Healthy
385,3,1089,133,30,11,Healthy
386,5,1096,139,30,14,Healthy
387,5,1136,127,30,9,Healthy
388,4,1116,92,30,13,Healthy
389,4,1047,136,30,13,Healthy
390,3,1017,81,30,11,Healthy
391,1,1131,126,30,7,Healthy
392,2,1080,120,30,14,Healthy
393,6,1013,138,30,9,Healthy
394,5,1005,62,30,15,Healthy
395,5,1008,2,25,9,Low Stock
396,2,1070,102,30,14,Healthy
397,6,1136,78,30,3,Healthy
398,3,1082,67,30,6,Healthy
399,6,1042,73,30,12,Healthy
400,2,1087,124,30,6,Healthy
401,3,1063,54,30,5,Healthy
402,2,1020,18,25,15,Low Stock
403,4,1016,9,25,7,Low Stock
404,1,1081,52,30,7,Healthy
405,4,1138,82,30,10,Healthy
406,3,1102,451,50,6,Overstock
407,6,1061,65,30,4,Healthy
408,1,1051,110,30,11,Healthy
409,6,1002,136,30,12,Healthy
410,6,1096,82,30,13,Healthy
411,4,1072,76,30,5,Healthy
412,1,1068,145,30,5,Healthy
413,6,1063,10,25,12,Low Stock
414,6,1061,5,25,13,Low Stock
415,6,1046,56,30,13,Healthy
416,1,1128,333,50,10,Overstock
417,4,1105,53,30,6,Healthy
418,6,1062,65,30,11,Healthy
419,1,1055,114,30,12,Healthy
420,1,1023,104,30,10,Healthy
421,5,1079,104,30,6,Healthy
422,5,1093,15,25,15,Low Stock
423,5,1028,374,50,3,Overstock
424,1,1030,19,25,6,Low Stock
425,2,1022,205,50,9,Overstock
426,2,1068,70,30,15,Healthy
427,6,1035,146,30,10,Healthy
428,6,1099,133,30,12,Healthy
429,2,1024,122,30,13,Healthy
430,5,1021,314,50,9,Overstock
431,4,1048,50,30,14,Healthy
432,1,1068,68,30,9,Healthy
433,3,1126,94,30,5,Healthy
434,2,1043,66,30,3,Healthy
435,2,1034,2,25,11,Low Stock
436,2,1103,116,30,10,Healthy
437,1,1135,123,30,3,Healthy
438,4,1050,73,30,15,Healthy
439,6,1067,140,30,10,Healthy
440,3,1009,99,30,7,Healthy
441,5,1079,146,30,15,Healthy
442,5,1089,8,25,12,Low Stock
443,3,1115,19,25,4,Low Stock
444,4,1119,131,30,8,Healthy
445,5,1063,94,30,14,Healthy
446,2,1016,390,50,13,Overstock
447,4,1136,97,30,12,Healthy
448,3,1140,9,25,14,Low Stock
449,1,1111,121,30,13,Healthy
450,1,1137,72,30,11,Healthy
451,2,1083,63,30,5,Healthy
452,2,1042,78,30,5,Healthy
453,3,1062,0,25,5,Low Stock
454,1,1022,8,25,3,Low Stock
455,5,1058,242,50,14,Overstock
456,1,1020,299,50,4,Overstock
457,3,1008,140,30,15,Healthy
458,3,1074,60,30,6,Healthy
459,3,1137,116,30,6,Healthy
460,1,1013,58,30,14,Healthy
461,6,1146,12,25,7,Low Stock
462,1,1148,364,50,5,Overstock
463,4,1088,67,30,10,Healthy
464,3,1027,54,30,12,Healthy
465,2,1062,13,25,12,Low Stock
466,5,1100,376,50,3,Overstock
467,6,1072,14,25,15,Low Stock
468,1,1082,69,30,9,Healthy
469,3,1069,73,30,5,Healthy
470,6,1086,353,50,3,Overstock
471,1,1021,95,30,6,Healthy
472,5,1119,18,25,7,Low Stock
473,2,1062,137,30,14,Healthy
474,1,1115,11,25,14,Low Stock
475,5,1134,56,30,13,Healthy
476,4,1101,90,30,7,Healthy
477,5,1036,139,30,12,Healthy
478,2,1138,434,50,3,Overstock
479,5,1036,130,30,15,Healthy
480,2,1043,87,30,12,Healthy
481,4,1070,492,50,3,Overstock
482,5,1061,145,30,15,Healthy
483,2,1136,56,30,10,Healthy
484,1,1125,2,25,13,Low Stock
485,1,1098,51,30,8,Healthy
486,3,1033,81,30,15,Healthy
487,2,1132,390,50,12,Overstock
488,2,1090,15,25,7,Low Stock
489,2,1065,105,30,12,Healthy
490,1,1004,18,25,10,Low Stock
491,3,1042,119,30,5,Healthy
492,4,1078,2,25,12,Low Stock
493,4,1145,76,30,5,Healthy
494,1,1070,83,30,9,Healthy
495,3,1028,115,30,8,Healthy
496,2,1039,80,30,6,Healthy
497,5,1025,2,25,15,Low Stock
498,3,1131,148,30,8,Healthy
499,4,1041,57,30,5,Healthy
500,4,1020,12,25,4,Low Stock
501,2,1109,52,30,12,Healthy
502,4,1121,18,25,8,Low Stock
503,4,1128,134,30,4,Healthy
504,6,1105,140,30,5,Healthy
505,5,1036,63,30,5,Healthy
506,2,1122,103,30,11,Healthy
507,5,1107,60,30,5,Healthy
508,4,1097,406,50,9,Overstock
509,4,1098,108,30,14,Healthy
510,3,1115,81,30,4,Healthy
511,1,1130,124,30,10,Healthy
512,5,1023,143,30,6,Healthy
513,5,1110,150,30,8,Healthy
514,1,1007,382,50,14,Overstock
515,6,1069,131,30,11,Healthy
516,2,1009,495,50,12,Overstock
517,6,1147,149,30,13,Healthy
518,3,1050,11,25,11,Low Stock
519,2,1082,20,25,11,Low Stock
520,4,1137,11,25,11,Low Stock
521,6,1013,81,30,13,Healthy
522,2,1136,123,30,4,Healthy
523,2,1137,252,50,10,Overstock
524,4,1125,56,30,8,Healthy
525,6,1037,57,30,14,Healthy
526,5,1122,6,25,8,Low Stock
527,5,1014,1,25,14,Low Stock
528,5,1084,117,30,12,Healthy
529,2,1008,112,30,5,Healthy
530,3,1059,91,30,8,Healthy
531,5,1021,68,30,8,Healthy
532,3,1099,2,25,3,Low Stock
533,5,1021,15,25,6,Low Stock
534,3,1030,80,30,14,Healthy
535,6,1003,12,25,7,Low Stock
536,5,1089,97,30,11,Healthy
537,5,1144,127,30,5,Healthy
538,5,1068,125,30,6,Healthy
539,4,1030,20,25,5,Low Stock
540,1,1019,74,30,10,Healthy
541,5,1066,131,30,8,Healthy
542,1,1080,61,30,15,Healthy
543,1,1134,119,30,4,Healthy
544,1,1066,7,25,4,Low Stock
545,2,1113,108,30,5,Healthy
546,5,1005,75,30,10,Healthy
547,2,1127,122,30,5,Healthy
548,3,1081,61,30,14,Healthy
549,6,1010,112,30,7,Healthy
550,3,1079,239,50,15,Overstock
551,1,1097,147,30,12,Healthy
552,6,1121,17,25,6,Low Stock
553,3,1088,78,30,3,Healthy
554,2,1068,104,30,4,Healthy
555,3,1144,103,30,4,Healthy
556,1,1101,115,30,3,Healthy
557,4,1002,2,25,14,Low Stock
558,3,1092,126,30,14,Healthy
559,6,1042,429,50,14,Overstock
560,3,1099,81,30,8,Healthy
561,6,1073,102,30,5,Healthy
562,2,1039,95,30,5,Healthy
563,6,1019,8,25,7,Low Stock
564,3,1140,351,50,13,Overstock
565,4,1045,262,50,9,Overstock
566,2,1094,70,30,13,Healthy
567,4,1004,60,30,15,Healthy
568,2,1139,140,30,5,Healthy
569,4,1140,327,50,10,Overstock
570,6,1024,118,30,15,Healthy
571,4,1100,139,30,3,Healthy
572,6,1108,71,30,13,Healthy
573,5,1036,81,30,10,Healthy
574,1,1137,73,30,3,Healthy
575,2,1146,145,30,5,Healthy
576,2,1063,119,30,5,Healthy
577,2,1136,8,25,9,Low Stock
578,2,1074,65,30,9,Healthy
579,3,1007,124,30,6,Healthy
580,5,1097,57,30,8,Healthy
581,1,1065,17,25,11,Low Stock
582,4,1058,125,30,9,Healthy
583,6,1028,115,30,14,Healthy
584,1,1078,91,30,12,Healthy
585,4,1095,2,25,12,Low Stock
586,6,1077,203,50,10,Overstock
587,4,1027,499,50,5,Overstock
588,5,1146,13,25,11,Low Stock
589,6,1147,147,30,4,Healthy
590,2,1073,70,30,7,Healthy
591,6,1112,66,30,5,Healthy
592,4,1055,119,30,10,Healthy
593,2,1038,132,30,10,Healthy
594,5,1099,150,30,3,Healthy
595,4,1011,101,30,4,Healthy
596,5,1113,4,25,10,Low Stock
597,3,1077,78,30,4,Healthy
598,4,1074,64,30,10,Healthy
599,5,1071,138,30,8,Healthy
600,6,1052,55,30,14,Healthy
601,1,1097,150,30,13,Healthy
602,5,1100,64,30,6,Healthy
603,5,1143,91,30,6,Healthy
604,4,1091,278,50,5,Overstock
605,3,1104,272,50,10,Overstock
606,1,1041,109,30,13,Healthy
607,5,1118,93,30,10,Healthy
608,2,1123,6,25,7,Low Stock
609,6,1109,70,30,13,Healthy
610,3,1034,108,30,6,Healthy
611,3,1028,142,30,6,Healthy
612,4,1087,78,30,11,Healthy
613,6,1094,89,30,15,Healthy
614,6,1098,54,30,7,Healthy
615,1,1005,137,30,11,Healthy
616,3,1043,92,30,10,Healthy
617,5,1109,117,30,8,Healthy
618,5,1045,8,25,7,Low Stock
619,3,1123,1,25,10,Low Stock
620,2,1031,125,30,9,Healthy
621,2,1054,63,30,11,Healthy
622,4,1080,99,30,5,Healthy
623,3,1124,463,50,15,Overstock
624,1,1105,12,25,3,Low Stock
625,6,1104,52,30,9,Healthy
626,1,1135,118,30,14,Healthy
627,3,1097,147,30,8,Healthy
628,5,1090,420,50,14,Overstock
629,1,1025,6,25,15,Low Stock
630,4,1054,95,30,6,Healthy
631,4,1032,495,50,4,Overstock
632,3,1090,20,25,6,Low Stock
633,5,1141,115,30,11,Healthy
634,4,1020,143,30,12,Healthy
635,3,1102,435,50,5,Overstock
636,1,1063,83,30,10,Healthy
637,3,1064,6,25,14,Low Stock
638,2,1100,68,30,11,Healthy
639,4,1145,68,30,10,Healthy
640,1,1143,77,30,8,Healthy
641,6,1139,84,30,3,Healthy
642,5,1010,70,30,15,Healthy
643,3,1017,79,30,15,Healthy
644,3,1016,77,30,5,Healthy
645,6,1092,60,30,13,Healthy
646,3,1067,101,30,6,Healthy
647,3,1143,127,30,11,Healthy
648,2,1098,13,25,6,Low Stock
649,6,1060,2,25,11,Low Stock
650,6,1141,65,30,13,Healthy
651,5,1148,84,30,14,Healthy
652,2,1131,141,30,7,Healthy
653,1,1051,16,25,14,Low Stock
654,5,1022,100,30,9,Healthy
655,6,1041,133,30,13,Healthy
656,3,1034,99,30,11,Healthy
657,4,1083,399,50,6,Overstock
658,3,1070,142,30,13,Healthy
659,4,1027,150,30,11,Healthy
660,4,1099,70,30,13,Healthy
661,5,1106,115,30,3,Healthy
662,4,1134,14,25,15,Low Stock
663,2,1101,13,25,4,Low Stock
664,2,1138,19,25,15,Low Stock
665,5,1071,90,30,7,Healthy
666,3,1096,133,30,9,Healthy
667,3,1136,111,30,8,Healthy
668,5,1100,379,50,6,Overstock
669,2,1031,109,30,3,Healthy
670,2,1102,112,30,5,Healthy
671,3,1102,108,30,4,Healthy
672,5,1059,3,25,13,Low Stock
673,1,1143,69,30,12,Healthy
674,3,1102,344,50,7,Overstock
675,4,1049,143,30,7,Healthy
676,5,1067,12,25,12,Low Stock
677,3,1009,53,30,8,Healthy
678,1,1126,81,30,9,Healthy
679,3,1092,59,30,9,Healthy
680,3,1085,145,30,11,Healthy
681,4,1086,56,30,14,Healthy
682,4,1013,79,30,5,Healthy
683,5,1029,120,30,11,Healthy
684,6,1045,318,50,10,Overstock
685,1,1128,20,25,9,Low Stock
686,6,1091,135,30,4,Healthy
687,6,1055,5,25,8,Low Stock
688,1,1117,101,30,11,Healthy
689,5,1132,92,30,9,Healthy
690,5,1076,146,30,4,Healthy
691,3,1132,131,30,6,Healthy
692,5,1100,12,25,15,Low Stock
693,5,1033,86,30,10,Healthy
694,2,1024,112,30,4,Healthy
695,4,1024,14,25,6,Low Stock
696,3,1101,422,50,11,Overstock
697,1,1094,76,30,6,Healthy
698,6,1105,138,30,7,Healthy
699,2,1137,303,50,3,Overstock
700,4,1068,12,25,13,Low Stock
701,5,1066,104,30,10,Healthy
702,3,1012,320,50,15,Overstock
703,3,1064,312,50,4,Overstock
704,6,1137,13,25,3,Low Stock
705,2,1141,3,25,3,Low Stock
706,3,1015,57,30,13,Healthy
707,6,1145,55,30,3,Healthy
708,3,1026,68,30,13,Healthy
709,3,1025,98,30,9,Healthy
710,5,1135,140,30,6,Healthy
711,1,1112,148,30,12,Healthy
712,2,1068,85,30,15,Healthy
713,1,1121,8,25,6,Low Stock
714,2,1070,86,30,6,Healthy
715,3,1028,130,30,3,Healthy
716,3,1003,13,25,4,Low Stock
717,3,1126,1,25,14,Low Stock
718,6,1120,91,30,7,Healthy
719,2,1066,134,30,3,Healthy
720,1,1150,123,30,6,Healthy
721,2,1005,67,30,3,Healthy
722,3,1101,132,30,4,Healthy
723,1,1142,103,30,3,Healthy
724,6,1148,145,30,8,Healthy
725,6,1109,139,30,9,Healthy
726,4,1019,57,30,12,Healthy
727,3,1040,390,50,3,Overstock
728,6,1047,3,25,4,Low Stock
729,1,1033,0,25,12,Low Stock
730,3,1001,132,30,15,Healthy
731,6,1074,92,30,12,Healthy
732,2,1059,12,25,11,Low Stock
733,5,1089,108,30,10,Healthy
734,5,1018,89,30,5,Healthy
735,3,1010,91,30,5,Healthy
736,2,1041,117,30,11,Healthy
737,5,1016,7,25,6,Low Stock
738,4,1116,4,25,8,Low Stock
739,5,1149,364,50,6,Overstock
740,6,1127,134,30,12,Healthy
741,2,1022,20,25,13,Low Stock
742,3,1069,134,30,5,Healthy
743,6,1082,90,30,5,Healthy
744,1,1033,18,25,7,Low Stock
745,4,1079,14,25,3,Low Stock
746,1,1100,18,25,9,Low Stock
747,5,1071,91,30,11,Healthy
748,1,1123,122,30,6,Healthy
749,6,1003,6,25,13,Low Stock
750,3,1088,17,25,9,Low Stock
751,3,1116,100,30,8,Healthy
752,1,1043,85,30,3,Healthy
753,5,1114,97,30,4,Healthy
754,4,1072,115,30,3,Healthy
755,6,1049,127,30,5,Healthy
756,6,1130,105,30,10,Healthy
757,3,1027,57,30,12,Healthy
758,3,1131,497,50,9,Overstock
759,6,1048,117,30,10,Healthy
760,1,1103,0,25,6,Low Stock
761,1,1084,2,25,9,Low Stock
762,4,1052,77,30,11,Healthy
763,2,1125,101,30,12,Healthy
764,1,1086,126,30,14,Healthy
